 0.28999     0.00000
 0.30747    27.87306
 0.32252   222.55504
 0.34500   458.81816
 0.37999   527.05748
 0.42007   889.26940
 0.45999  1108.97600
 0.49980  1087.49480
 0.54494  1068.28080
 0.60516  1002.30700
 0.66375   934.32110
 0.68847   810.78680
 0.69085   779.88608
 0.69324   785.77778
 0.69565   789.51140
 0.69808   787.32620
 0.70053   787.99712
 0.70299   799.17460
 0.70547   807.96160
 0.70797   806.16376
 0.71048   803.33112
 0.71302   796.13740
 0.71557   766.12804
 0.71814   655.50690
 0.72072   587.57776
 0.72333   632.20960
 0.72596   661.73590
 0.72860   664.32800
 0.73126   688.32560
 0.73395   736.35130
 0.73665   756.75194
 0.73937   759.31156
 0.74212   774.42948
 0.74488   793.39052
 0.74767   791.48068
 0.75047   788.76016
 0.75330   786.72544
 0.75615   657.19384
 0.75902   335.86864
 0.76191   324.22912
 0.76482   474.65644
 0.76776   628.75278
 0.77072   747.11552
 0.77370   749.26184
 0.77670   749.45112
 0.77973   748.11880
 0.78278   743.54880
 0.78586   731.96912
 0.78896   702.95312
 0.79208   693.49148
 0.79523   693.30144
 0.79841   685.11252
 0.80161   681.41756
 0.80483   682.25632
 0.80808   673.54144
 0.81136   647.26140
 0.81467   596.69490
 0.81800   588.66098
 0.82136   598.08842
 0.82475   626.47148
 0.82816   614.81804
 0.83160   613.44056
 0.83508   627.57238
 0.83858   630.86332
 0.84211   636.20710
 0.84567   637.78720
 0.84926   616.81576
 0.85288   585.00572
 0.85654   585.43040
 0.86022   631.14152
 0.86394   616.57480
 0.86768   617.60502
 0.87146   622.45136
 0.87528   622.35480
 0.87913   609.27500
 0.88301   604.67622
 0.88692   599.67912
 0.89087   578.48916
 0.89486   510.40828
 0.89888   417.96080
 0.90294   441.02252
 0.90703   435.20816
 0.91117   377.74268
 0.91534   386.21800
 0.91955   445.13000
 0.92379   419.87472
 0.92808   325.12750
 0.93241   187.39226
 0.93677   158.73831
 0.94118   249.11084
 0.94563   175.06672
 0.95012   201.61832
 0.95466   220.57462
 0.95924   267.17708
 0.96386   302.48144
 0.96853   382.49160
 0.97324   376.64348
 0.97800   397.89356
 0.98281   444.42444
 0.98766   468.37800
 0.99256   477.27852
 0.99751   474.07936
 1.00251   467.28700
 1.00756   458.70006
 1.01266   456.79090
 1.01782   453.09864
 1.02303   445.78500
 1.02828   444.14024
 1.03360   441.59664
 1.03897   438.95408
 1.04439   436.12724
 1.04988   428.09592
 1.05542   412.11776
 1.06102   403.15870
 1.06667   395.72556
 1.07239   389.66236
 1.07818   374.32700
 1.08402   351.18476
 1.08993   343.85180
 1.09590   306.12554
 1.10194   254.69356
 1.10804   247.04404
 1.11422   166.13070
 1.12046    43.92719
 1.12677    53.87624
 1.13315    47.60358
 1.13961   112.47970
 1.14614    69.79366
 1.15275   116.92363
 1.15943   212.87160
 1.16619   267.10088
 1.17303   277.56154
 1.17995   268.81270
 1.18695   268.37928
 1.19404   271.99590
 1.20121   265.20888
 1.20847   269.37100
 1.21582   278.59348
 1.22325   288.08434
 1.23078   299.11546
 1.23840   301.83196
 1.24612   294.58324
 1.25393   286.36832
 1.26184   254.31624
 1.26985   237.20804
 1.27797   259.25888
 1.28619   258.06340
 1.29451   248.04160
 1.30295   224.31450
 1.31149   187.92302
 1.32015   141.48252
 1.32892    86.60666
 1.33781    87.24854
 1.34682    23.01587
 1.35595     0.03043
 1.36520     0.00007
 1.37459     0.05350
 1.38410     0.00086
 1.39375     0.02126
 1.40353     0.12872
 1.41345     2.69463
 1.42351     8.96269
 1.43371    12.17528
 1.44406    16.68431
 1.45457    40.61588
 1.46522    30.14562
 1.47604    44.30065
 1.48701    64.10773
 1.49815   128.30280
 1.50946   149.89010
 1.52094   167.76180
 1.53259   171.17840
 1.54443   172.91250
 1.55644   173.99568
 1.56865   157.73176
 1.58105   157.11536
 1.59365   155.47920
 1.60645   146.29672
 1.61946   153.69760
 1.63268   153.08480
 1.64612   145.43292
 1.65978   145.79560
 1.67367   141.82522
 1.68779   136.99124
 1.70216   132.32100
 1.71677   124.70880
 1.73163   110.94900
 1.74676   100.04840
 1.76215    90.88896
 1.77781    60.99151
 1.79376    33.51746
 1.80999     2.12573
 1.82652     0.01581
 1.84336     0.00004
 1.86051     0.00014
 1.87798     0.00130
 1.89578     0.00195
 1.91392     0.00300
 1.93241     0.68361
 1.95127     7.91845
 1.97049    32.96765
 1.99010    50.23427
 2.01010    18.80262
 2.03051    51.81552
 2.05134    39.89035
 2.07259    44.52190
 2.09430    53.97774
 2.11646    51.65962
 2.13910    52.38271
 2.16222    46.25565
 2.18586    42.25231
 2.21001    44.73096
 2.23471    44.04336
 2.25996    40.24574
 2.28579    38.54959
 2.31222    31.57357
 2.33926    26.50189
 2.36695    26.21127
 2.39530    21.20758
 2.42433    18.46937
 2.45408    12.07304
 2.48457     2.48844
 2.51582     1.23456
 2.54787     0.06031
 2.58075     0.00000
 2.61449     0.00000
 2.64912     0.00014
 2.68469     0.00000
 2.72121     0.00000
 2.75875     0.00000
 2.79734     0.00000
 2.83702     0.01739
 2.87785     0.58271
 2.91986     1.36765
 2.96313     1.23644
 3.00769     2.41544
 3.05361     0.87888
 3.10096     0.91461
 3.14980     3.02047
 3.20021     1.60042
 3.25225     1.62865
 3.30601     2.24092
 3.36158     2.99534
 3.41905     4.85437
 3.47852     4.75632
 3.54010     3.77316
 3.60390     3.55960
 3.67003     3.38434
 3.73864     3.39330
 3.80987     3.31324
